Block 787: CRC=466, LRC=268
Block 788: CRC=468, LRC=104
Block 789: CRC=4, LRC=460
Block 790: CRC=508, LRC=395
Block 791: CRC=16, LRC=200
Block 792: CRC=280, LRC=157
Block 793: CRC=412, LRC=382
Block 794: CRC=35, LRC=32
Block 795: CRC=173, LRC=487
Block 796: CRC=398, LRC=262
Block 797: CRC=491, LRC=292
Block 798: CRC=266, LRC=118
Block 799: CRC=138, LRC=69
Block 800: CRC=70, LRC=55
Block 801: CRC=25, LRC=331
Block 802: CRC=62, LRC=334
Block 803: CRC=55, LRC=453
Block 804: CRC=445, LRC=127
Block 805: CRC=208, LRC=361
Block 806: CRC=248, LRC=508
Block 807: CRC=199, LRC=239
Block 808: CRC=196, LRC=134
Block 809: CRC=115, LRC=131
Block 810: CRC=310, LRC=42
Block 811: CRC=88, LRC=357
Block 812: CRC=352, LRC=100
Block 813: CRC=299, LRC=19
Block 814: CRC=351, LRC=49
Block 815: CRC=224, LRC=13
Block 816: CRC=286, LRC=334
Block 817: CRC=148, LRC=345
Block 818: CRC=436, LRC=386
Block 819: CRC=386, LRC=268
Block 820: CRC=124, LRC=42
Block 821: CRC=307, LRC=148
Block 822: CRC=233, LRC=415
Block 823: CRC=336, LRC=41
